a,b,theta,A2,Rt,E,E_p,E_t1,E_t3,machine_type,status,file_name
8.3,6.3,30,0,0,-37.47421948891133,-4.753281573066488,-6.593410722911358,-7.39041744847782,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=0_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-1,0,-38.12651613447815,-4.952836028533056,-6.6986315990798175,-7.411790439626202,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,1,0,-36.76240979461,-4.534506486728787,-6.482354002306238,-7.364344408269972,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=1_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-2,0,-38.71323798364028,-5.131042593391612,-6.797483249567449,-7.42809314886108,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-2_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-3,0,-39.22659136354923,-5.286150514613837,-6.889087159419432,-7.438058007741347,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-3_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-4,0,-39.65682477038354,-5.416942424140871,-6.970425005536526,-7.441044955514371,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-4_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-5,0,-39.99847886525095,-5.522878662450239,-7.040674750460312,-7.435686019714922,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-5_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-6,0,-40.23990706540644,-5.603802352678031,-7.097094174474478,-7.419057005550712,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-6_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-7,0,-40.3719728179276,-5.659995872993022,-7.136708880076185,-7.389281655894592,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-7_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-8,0,-40.38611689349637,-5.692300087539479,-7.156412694603205,-7.344345664605498,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-8_Rt=0_cx=0_cy=0_cz=0_A1=0.log
8.3,6.3,30,-9,0,-40.268245415296406,-5.701951191062108,-7.1528170625679195,-7.279354454018176,1,Done,BSBSe_theta=30_a=8.3_b=6.3_A2=-9_Rt=0_cx=0_cy=0_cz=0_A1=0.log
